id,name,city,state,address,category,rating,specialities,accreditation,available_beds,contact,angioplasty_cost,bypass_surgery_cost,knee_replacement_cost,hip_replacement_cost,cataract_cost,appendectomy_cost,dialysis_cost,chemotherapy_cost,spine_surgery_cost,organ_transplant_cost
H001,Orange City Hospital & Research Institute,Nagpur,Maharashtra,"Nagpur, Maharashtra",Private,4.7,"Cardiology,Orthopedics,Oncology,Neurology",NABH,450,+91-712-2222222,220000,650000,280000,320000,35000,60000,3000,80000,350000,1200000
H002,Alexis Multispecialty Hospital,Nagpur,Maharashtra,"Dhantoli, Nagpur",Private,4.5,"Cardiology,Oncology,Nephrology",NABH,300,+91-712-3333333,240000,700000,300000,340000,40000,65000,3500,90000,380000,1300000
H003,Lata Mangeshkar Hospital,Nagpur,Maharashtra,"Nagpur, Maharashtra",Trust,4.3,"Cardiology,General Surgery,Gynecology",,250,+91-712-4444444,180000,580000,260000,290000,30000,55000,2800,70000,320000,1000000
H004,Government Medical College Hospital,Nagpur,Maharashtra,"GMC Campus, Nagpur",Government,3.8,"Cardiology,Orthopedics,General Surgery,Oncology",,800,+91-712-5555555,80000,250000,120000,140000,10000,25000,1000,30000,150000,500000
H005,Care Hospital,Nagpur,Maharashtra,"Nagpur, Maharashtra",Private,4.4,"Cardiology,Neurology,Orthopedics",NABH,280,+91-712-6666666,210000,630000,270000,310000,38000,58000,3200,85000,360000,1150000
H006,Kokilaben Dhirubhai Ambani Hospital,Mumbai,Maharashtra,"Andheri West, Mumbai",Private,4.9,"Cardiology,Oncology,Neurology,Orthopedics,Nephrology",JCI,700,+91-22-30999999,380000,950000,420000,480000,55000,95000,5000,130000,550000,2000000
H007,Lilavati Hospital,Mumbai,Maharashtra,"Bandra West, Mumbai",Private,4.7,"Cardiology,Oncology,Orthopedics,Neurology",NABH,323,+91-22-26568000,350000,900000,400000,450000,50000,85000,4800,120000,520000,1800000
H008,Hinduja Hospital,Mumbai,Maharashtra,"Mahim, Mumbai",Private,4.6,"Cardiology,Nephrology,Oncology,Transplant",NABH,350,+91-22-24454545,340000,870000,390000,430000,48000,82000,4500,115000,500000,1750000
H009,KEM Hospital,Mumbai,Maharashtra,"Parel, Mumbai",Government,3.9,"Cardiology,Oncology,General Surgery,Orthopedics",,1800,+91-22-24107000,100000,300000,160000,180000,12000,30000,1200,40000,180000,600000
H010,Apollo Hospital,Mumbai,Maharashtra,"CBD Belapur, Navi Mumbai",Private,4.8,"Cardiology,Oncology,Orthopedics,Neurology,Transplant",JCI,600,+91-22-27783000,370000,930000,410000,460000,53000,90000,4900,125000,540000,1900000
H011,Fortis Hospital,Pune,Maharashtra,"Viman Nagar, Pune",Private,4.6,"Cardiology,Oncology,Orthopedics,Neurology",NABH,400,+91-20-67214444,300000,800000,360000,400000,45000,75000,4200,105000,450000,1600000
H012,Ruby Hall Clinic,Pune,Maharashtra,"Sassoon Road, Pune",Private,4.5,"Cardiology,Orthopedics,Oncology",NABH,375,+91-20-26163391,280000,750000,340000,380000,42000,70000,4000,100000,430000,1500000
H013,Sahyadri Hospital,Pune,Maharashtra,"Deccan Gymkhana, Pune",Private,4.4,"Cardiology,Neurology,Nephrology",NABH,320,+91-20-30208888,260000,720000,320000,360000,40000,68000,3800,95000,410000,1400000
H014,KEM Hospital Pune,Pune,Maharashtra,"Rasta Peth, Pune",Government,3.7,"General Surgery,Orthopedics,Cardiology",,600,+91-20-26128000,90000,280000,140000,160000,11000,28000,1100,35000,160000,550000
H015,Apollo Hospitals Hyderabad,Hyderabad,Telangana,"Jubilee Hills, Hyderabad",Private,4.8,"Cardiology,Oncology,Orthopedics,Transplant,Neurology",JCI,700,+91-40-23607777,360000,910000,400000,450000,52000,88000,4800,122000,530000,1850000
H016,KIMS Hospital,Hyderabad,Telangana,"Secunderabad, Hyderabad",Private,4.6,"Cardiology,Oncology,Neurology,Orthopedics",NABH,500,+91-40-44885000,290000,780000,350000,390000,44000,73000,4100,102000,440000,1550000
H017,Yashoda Hospital,Hyderabad,Telangana,"Somajiguda, Hyderabad",Private,4.5,"Cardiology,Nephrology,Gastroenterology",NABH,400,+91-40-45674567,270000,740000,330000,370000,41000,68000,3900,98000,420000,1450000
H018,Osmania General Hospital,Hyderabad,Telangana,"Afzalgunj, Hyderabad",Government,3.6,"Cardiology,General Surgery,Orthopedics",,1200,+91-40-24600100,75000,230000,110000,130000,9000,22000,900,28000,140000,480000
H019,Medanta The Medicity,Gurugram,Haryana,"Sector 38, Gurugram",Private,4.8,"Cardiology,Oncology,Orthopedics,Neurology,Transplant",JCI,1250,+91-124-4141414,390000,970000,430000,490000,57000,97000,5100,135000,560000,2050000
H020,Fortis Memorial Research Institute,Gurugram,Haryana,"Sector 44, Gurugram",Private,4.7,"Cardiology,Neurology,Oncology,Transplant",JCI,310,+91-124-4962200,370000,940000,415000,470000,54000,93000,4950,128000,545000,1950000
H021,Max Super Speciality Hospital,Delhi,Delhi,"Saket, New Delhi",Private,4.7,"Cardiology,Oncology,Neurology,Orthopedics",NABH,500,+91-11-26515050,360000,920000,408000,462000,52000,90000,4900,125000,535000,1900000
H022,AIIMS Delhi,Delhi,Delhi,"Ansari Nagar, New Delhi",Government,4.6,"Cardiology,Oncology,Neurology,Orthopedics,Transplant",,2478,+91-11-26588500,120000,380000,200000,240000,15000,40000,1500,60000,240000,800000
H023,Safdarjung Hospital,Delhi,Delhi,"Ansari Nagar West, New Delhi",Government,3.5,"General Surgery,Orthopedics,Cardiology",,1531,+91-11-26165060,70000,220000,100000,120000,8000,20000,800,25000,130000,450000
H024,Apollo Indraprastha,Delhi,Delhi,"Sarita Vihar, New Delhi",Private,4.7,"Cardiology,Oncology,Orthopedics,Transplant",JCI,710,+91-11-71791090,365000,925000,412000,465000,53000,91000,4920,127000,538000,1920000
H025,Manipal Hospital,Bengaluru,Karnataka,"Old Airport Road, Bengaluru",Private,4.7,"Cardiology,Oncology,Neurology,Transplant",NABH,600,+91-80-25024444,340000,880000,390000,440000,50000,84000,4700,118000,510000,1820000
H026,Narayana Health City,Bengaluru,Karnataka,"Bommasandra, Bengaluru",Private,4.8,"Cardiology,Oncology,Orthopedics,Transplant,Pediatrics",NABH,1000,+91-80-71222222,310000,820000,370000,415000,46000,77000,4300,107000,460000,1650000
H027,Fortis Hospital Bengaluru,Bengaluru,Karnataka,"Bannerghatta Road, Bengaluru",Private,4.5,"Cardiology,Neurology,Oncology",NABH,250,+91-80-66214444,295000,790000,355000,395000,44000,74000,4150,103000,445000,1570000
H028,Victoria Hospital,Bengaluru,Karnataka,"KR Market, Bengaluru",Government,3.6,"General Surgery,Orthopedics,Cardiology",,800,+91-80-26701150,80000,240000,120000,140000,9500,23000,950,29000,145000,490000
H029,Apollo Hospitals Chennai,Chennai,Tamil Nadu,"Greams Road, Chennai",Private,4.8,"Cardiology,Oncology,Transplant,Orthopedics",JCI,560,+91-44-28290200,355000,905000,402000,454000,51000,87000,4820,123000,532000,1880000
H030,Fortis Malar Hospital,Chennai,Tamil Nadu,"Adyar, Chennai",Private,4.6,"Cardiology,Orthopedics,Neurology",NABH,180,+91-44-42893333,310000,820000,368000,414000,46000,77000,4250,108000,462000,1640000
H031,Government General Hospital Chennai,Chennai,Tamil Nadu,"Park Town, Chennai",Government,3.7,"Cardiology,General Surgery,Orthopedics",,2650,+91-44-25305000,85000,260000,130000,150000,10000,26000,1050,32000,155000,520000
H032,Medanta Hospital Lucknow,Lucknow,Uttar Pradesh,"Amar Shaheed Path, Lucknow",Private,4.6,"Cardiology,Oncology,Neurology,Orthopedics",NABH,450,+91-522-4505050,260000,710000,310000,350000,40000,68000,3700,93000,415000,1430000
H033,SGPGI Lucknow,Lucknow,Uttar Pradesh,"Raebareli Road, Lucknow",Government,4.2,"Cardiology,Neurology,Transplant,Oncology",,750,+91-522-2668700,110000,340000,170000,200000,14000,35000,1400,55000,220000,740000
H034,Apollo Hospitals Kolkata,Kolkata,West Bengal,"Canal Circular Road, Kolkata",Private,4.6,"Cardiology,Oncology,Neurology",NABH,350,+91-33-23201111,300000,800000,358000,402000,45000,75000,4180,105000,448000,1590000
H035,AMRI Hospitals,Kolkata,West Bengal,"Dhakuria, Kolkata",Private,4.4,"Cardiology,Orthopedics,Oncology",NABH,400,+91-33-30601000,270000,730000,325000,365000,41000,69000,3850,97000,422000,1460000
H036,SSKM Hospital,Kolkata,West Bengal,"AJC Bose Road, Kolkata",Government,3.8,"Cardiology,General Surgery,Oncology",,1878,+91-33-22041000,85000,255000,125000,145000,10500,26000,1020,31000,150000,510000
H037,Bombay Hospital Indore,Indore,Madhya Pradesh,"MG Road, Indore",Private,4.4,"Cardiology,Orthopedics,General Surgery",NABH,300,+91-731-2536666,200000,580000,260000,295000,36000,60000,3200,82000,340000,1150000
H038,CHL Hospital,Indore,Madhya Pradesh,"AB Road, Indore",Private,4.3,"Cardiology,Neurology,Oncology",NABH,250,+91-731-4747474,185000,560000,245000,280000,34000,57000,3050,78000,325000,1100000
H039,MY Hospital Indore,Indore,Madhya Pradesh,"Residency Area, Indore",Government,3.5,"General Surgery,Orthopedics,Cardiology",,1000,+91-731-2463222,70000,215000,105000,122000,8500,21000,850,26000,135000,460000
H040,Apollo Hospitals Ahmedabad,Ahmedabad,Gujarat,"Bhat, Ahmedabad",Private,4.7,"Cardiology,Oncology,Transplant,Orthopedics",NABH,350,+91-79-66701800,330000,860000,380000,428000,48000,81000,4600,114000,490000,1780000
